image,subject,confidence
2018-03-05_23-20-53_UTC.jpg,stethoscope,0.21267622709274292
2015-10-13_01-37-01_UTC.jpg,power drill,0.8461412787437439
2017-12-07_20-25-26_UTC.jpg,traffic light,0.1860899031162262
2019-01-23_21-17-32_UTC.jpg,china cabinet,0.14706584811210632
2014-11-08_04-47-02_UTC.jpg,traffic light,0.3786413073539734
2015-09-24_03-36-59_UTC.jpg,trailer truck,0.14885513484477997
2017-12-08_14-51-09_UTC.jpg,traffic light,0.13590788841247559
2018-08-27_17-48-01_UTC.jpg,Arabian camel,0.3456041216850281
2014-06-09_18-50-26_UTC.jpg,marimba,0.5440067648887634
2015-01-31_17-58-35_UTC.jpg,traffic light,0.5769098401069641
2015-01-17_21-32-19_UTC.jpg,marimba,0.7066338062286377
2014-12-04_16-06-03_UTC_styled_1.jpg,marimba,0.44497573375701904
2017-12-07_00-47-13_UTC.jpg,marimba,0.6040191054344177
2015-03-06_00-30-21_UTC.jpg,hand-held computer,0.5803265571594238
2015-09-19_02-54-49_UTC.jpg,trailer truck,0.4548610746860504
2015-10-28_21-41-08_UTC.jpg,shovel,0.19424062967300415
2014-11-30_17-43-12_UTC.jpg,marimba,0.5692700743675232
2015-01-01_23-40-14_UTC.jpg,sea urchin,0.22169198095798492
2018-10-19_01-49-59_UTC_2.jpg,traffic light,0.2762661874294281
2015-06-15_22-26-17_UTC.jpg,traffic light,0.5410604476928711
2014-05-16_13-50-39_UTC.jpg,marimba,0.6322715878486633
2014-11-22_23-02-42_UTC.jpg,whistle,0.44406917691230774
2015-01-18_05-31-28_UTC.jpg,bagel,0.1317492574453354
2014-11-11_04-09-43_UTC.jpg,traffic light,0.9211087226867676
2021-09-03_21-18-38_UTC.jpg,traffic light,0.21331578493118286
2014-06-29_06-07-02_UTC.jpg,speedboat,0.026776809245347977
2014-02-01_17-39-07_UTC.jpg,thatch,0.3928323984146118
2016-05-19_00-59-25_UTC.jpg,traffic light,0.3692469894886017
2015-05-10_23-54-29_UTC.jpg,vacuum,0.07099026441574097
2018-03-01_22-23-43_UTC.jpg,marimba,0.6785025000572205
2025-01-13_19-56-03_UTC.jpg,vault,0.1222599446773529
2015-10-22_02-45-06_UTC.jpg,hand-held computer,0.09733276814222336
