image_name,main_subject,confidence,detected_objects
2014-11-11_04-09-43_UTC.jpg,traffic light,0.92,
2021-09-03_21-18-38_UTC.jpg,traffic light,0.21,
2014-06-29_06-07-02_UTC.jpg,speedboat,0.03,
2014-02-01_17-39-07_UTC.jpg,thatch,0.39,
2016-05-19_00-59-25_UTC.jpg,traffic light,0.37,
2015-05-10_23-54-29_UTC.jpg,vacuum,0.07,
2018-03-01_22-23-43_UTC.jpg,marimba,0.68,
2025-01-13_19-56-03_UTC.jpg,vault,0.12,
2015-10-22_02-45-06_UTC.jpg,hand-held computer,0.10,
2015-10-02_02-44-35_UTC.jpg,vending machine,0.31,
2014-06-03_14-26-05_UTC.jpg,dial telephone,0.53,
2015-04-12_17-57-28_UTC.jpg,sweatshirt,0.09,
2023-10-21_02-39-07_UTC_6.jpg,shower cap,0.20,
2018-03-15_00-38-47_UTC.jpg,marimba,0.78,
2015-09-30_03-41-02_UTC.jpg,trailer truck,0.21,
2015-04-28_23-46-58_UTC.jpg,traffic light,0.86,
2014-07-28_20-12-10_UTC.jpg,safe,0.23,
2015-07-18_10-27-36_UTC.jpg,traffic light,0.63,
2014-06-08_14-14-50_UTC.jpg,mosque,0.41,
2015-04-10_16-35-41_UTC.jpg,traffic light,0.70,
2015-02-28_19-40-08_UTC.jpg,mosque,0.25,
2015-11-23_05-30-36_UTC.jpg,shower cap,0.35,
2023-11-07_01-10-45_UTC_1.jpg,hand-held computer,0.19,
2014-06-26_15-35-46_UTC.jpg,hook,0.24,
2018-03-04_00-21-54_UTC.jpg,bicycle-built-for-two,0.60,
2014-12-15_22-04-44_UTC.jpg,traffic light,0.84,
2015-02-19_01-18-21_UTC.jpg,traffic light,0.29,
2014-06-13_18-02-55_UTC.jpg,shovel,0.27,
2018-07-28_01-50-01_UTC.jpg,guillotine,0.22,
2018-03-14_00-58-57_UTC.jpg,marimba,0.59,
2019-11-08_02-51-48_UTC.jpg,traffic light,0.80,
2018-03-19_02-03-49_UTC.jpg,frying pan,0.12,
2014-02-28_02-13-11_UTC.jpg,traffic light,0.35,
2015-08-27_05-36-33_UTC.jpg,cloak,0.08,
2023-11-07_01-10-45_UTC_3.jpg,power drill,0.46,
2016-05-10_23-53-15_UTC.jpg,bikini,0.33,
2015-12-06_20-27-56_UTC.jpg,marimba,0.57,
2023-09-30_16-54-01_UTC.jpg,traffic light,0.48,
2019-01-27_16-27-00_UTC_1_styled_1.jpg,hand-held computer,0.92,
2023-02-07_18-13-46_UTC.jpg,traffic light,0.77,
2014-12-17_00-27-44_UTC.jpg,wok,0.21,
2018-10-19_01-49-59_UTC_1.jpg,hand-held computer,0.32,
2017-06-23_03-46-40_UTC.jpg,hand-held computer,0.24,
2015-04-13_15-02-26_UTC.jpg,traffic light,0.71,
2023-11-12_23-06-11_UTC.jpg,stethoscope,0.50,
2015-10-19_03-07-41_UTC.jpg,hook,0.19,
2023-10-21_02-39-07_UTC_4.jpg,bookshop,0.28,
2023-11-17_03-52-28_UTC.jpg,dome,0.27,
2014-06-22_22-07-26_UTC.jpg,ballpoint,0.14,
2023-10-29_22-23-14_UTC_3.jpg,fire engine,0.29,
2014-12-01_03-17-32_UTC.jpg,traffic light,0.47,
2025-01-16_20-18-15_UTC_1.jpg,web site,0.54,
2015-12-24_16-19-42_UTC.jpg,electric ray,0.14,
2015-05-28_22-25-39_UTC.jpg,dial telephone,0.23,
2014-05-27_20-11-59_UTC.jpg,entertainment center,0.49,
2023-10-29_22-23-14_UTC_2.jpg,coffeepot,0.17,
2016-05-22_02-18-22_UTC.jpg,power drill,0.47,
2015-12-25_01-33-13_UTC.jpg,traffic light,0.42,
2014-02-27_04-45-37_UTC.jpg,shovel,0.19,
2019-04-18_01-06-04_UTC.jpg,cloak,0.20,
2021-04-05_22-26-33_UTC.jpg,traffic light,0.27,
2023-10-21_02-39-07_UTC_5.jpg,power drill,0.63,
2015-02-27_22-18-50_UTC.jpg,traffic light,0.18,
2015-10-26_02-13-12_UTC.jpg,hook,0.48,
2018-08-06_01-03-42_UTC.jpg,hook,0.17,
2014-05-07_17-57-39_UTC.jpg,entertainment center,0.68,
2018-01-13_19-42-55_UTC_2.jpg,traffic light,0.28,
2019-11-20_23-56-21_UTC.jpg,hand-held computer,0.16,
2014-07-06_04-52-49_UTC.jpg,mosque,0.23,
2015-10-24_01-22-19_UTC.jpg,traffic light,0.12,
2018-11-18_04-06-44_UTC_styled_1.jpg,hand-held computer,0.18,
2018-09-02_01-57-18_UTC.jpg,photocopier,0.27,
2015-08-22_03-23-49_UTC.jpg,power drill,0.35,
2015-02-01_23-20-31_UTC.jpg,traffic light,0.51,
2015-11-28_03-57-05_UTC.jpg,shower cap,0.31,
2024-03-05_17-06-23_UTC.jpg,traffic light,0.57,
2018-03-23_01-27-28_UTC.jpg,whistle,0.64,
2014-06-03_02-49-54_UTC.jpg,tiger shark,0.62,
2017-07-03_17-38-06_UTC.jpg,mailbox,0.35,
2019-03-15_22-09-45_UTC.jpg,book jacket,0.52,
2015-08-18_04-09-09_UTC.jpg,saltshaker,0.17,
2015-12-19_18-07-27_UTC.jpg,basketball,0.08,
2018-07-16_01-29-45_UTC.jpg,power drill,0.23,
2015-06-04_00-45-17_UTC.jpg,wombat,0.82,
2021-04-09_21-52-01_UTC.jpg,wombat,0.26,
2021-04-17_01-59-14_UTC.jpg,hand-held computer,0.14,
2018-07-19_01-49-32_UTC_1.jpg,shovel,0.18,
2015-02-26_05-24-02_UTC.jpg,valley,0.23,
2015-03-03_01-25-48_UTC.jpg,traffic light,0.40,
2017-12-19_20-42-22_UTC_3.jpg,mosque,0.74,
2018-08-22_17-46-51_UTC.jpg,entertainment center,0.11,
2014-07-29_03-13-59_UTC.jpg,wombat,0.16,
2015-01-13_23-30-23_UTC.jpg,bath towel,0.30,
2015-04-19_21-53-51_UTC.jpg,American alligator,0.38,
2025-01-08_17-35-40_UTC.jpg,digital watch,0.24,
2018-03-20_01-37-53_UTC.jpg,frying pan,0.53,
2015-07-14_00-25-15_UTC.jpg,traffic light,0.14,
2016-11-13_17-25-35_UTC.jpg,rocking chair,0.51,
2019-03-02_21-14-24_UTC.jpg,shower cap,0.45,
2015-12-07_06-01-05_UTC.jpg,marimba,0.20,
2014-02-14_05-14-17_UTC.jpg,traffic light,0.23,
2015-07-27_03-03-02_UTC.jpg,power drill,0.40,
2015-10-17_21-14-00_UTC.jpg,whistle,0.18,
2014-07-30_20-21-19_UTC.jpg,honeycomb,0.14,
2019-05-13_15-27-48_UTC.jpg,web site,0.06,
2019-03-10_01-15-54_UTC.jpg,vault,0.40,
